Sinecure|a position that requires no work but still gives a payment; a cushy job|Even thought we all thought of the job as a sinecure, Jane took her position very seriously and always worked late into the evening.|
Sinew|sturdy tissue that links bones to muscles; also referred to as a tendon|By injuring your Achilles tendon, you’ve injured a sinew in your leg that links the muscles of your calf to your heel.|
Sinewy|powerful and sturdy|Three sinewy men were able to lift the tree off the car.|
Sinful|wrong morally or ethically|Eve’s lapse in morality caused Adam and the rest of the world to be punished for her sinful actions.|
Sing|to use one’s voice to make musical sounds|The carolers will lift their voices and sing cheerful hymns this Christmas.|
Singe|to burn something in a superficial way|The spicy food began to singe my mouth as soon as I took a bite.|
Single-file|one behind the other|The students were asked to stay in a single-file line, walking one behind the other all the way to the cafeteria.|
Single|one solitary or lone object|A single shot was fired from the gun, but that one bullet was enough to kill the victim.|
Singular|remarkable, extraordinary|Although it isn’t widely known, the book is regarded as a singular and powerful piece of 19th century writing.|
Singularity|the act of being the only one of something; on its own|Since the hiker was stranded having the singularity of one match in his pocket, the hiker realized he would only have one chance to build a fire.|
Sinister|wicked or evil|The policeman quickly took note of the sinister man’s appearance.|
Sink|to float down|A hole in the bottom of the boat caused it to fill with water and sink down to the bottom of the lake.|
Sinner|a person who does things that are wrong or immoral according to religious law|The holy book calls for any sinner who commits adultery to be stoned to death.|
Sinuous|winding and twisting|According to the treasure map, the cave is located at the end of the sinuous path that winds up the mountain.|
Sip|to drink something slowly|I had to remember to sip the wine slowly so that I would not get a headache.|
Siphon|to draw off liquid by means of a tube|The sneaky thief used a long tube to siphon the gasoline from the woman’s vehicle and put it into his own.|
Sire|the father of an animal, especially a horse or bull|Although he had never won any awards, the son of the sire was a prize-winning pony.|
Siren|an object that makes a loud noise as a warning|A wailing siren and news broadcast alerted viewers that a twister had been spotted on a nearby farm.|
Sisyphean|describing something that appears or actually is endless|We hired a dozen extra workers to help us with the Sisyphean task of moving out of our sixteen-bedroom mansion.|
Site|a place where a specific event has occurred|Stalingrad is the site of one of the most heated battles of World War Two’s eastern front, with massive casualties for both the Germans and the Russians.|
Situate|to place something|The seasoned gardener suggested I situate the plant that is sheltered with at least partial shade.|
Situation|the location or circumstances of something compared to the things around it|With the impending hurricanes, I knew my sister’s situation was desperate since her house was flooded.|
Situation|a set of circumstances or surroundings that one is in|The soldiers were surrounded, and they had no choice but to surrender considering the gravity of their situation.|
Situational|dependent upon a certain set of circumstances or situations|The punishment for the crime seems to be situational since some of the cons go to jail and some get probation instead.|
Sizzle|to make a hissing sound while frying or burning|Begin by heating the frying pan until drops of water tossed into sizzle.|
Skedaddle|to flee or go away hastily|When the tornado turned toward the storm chasers, they realized they had better skedaddle to a safer location.|
Skein|the V-formation that ducks and geese fly in when they are migrating|Because they like to stick together when they are migrating for the winter, ducks and geese fly in a skein, which is a formation in the shape of a V.|
Skeleton|an internal framework or body used to protect and support|After the fire, the building’s metal skeleton was the only thing left standing.|
Skeptic|a person who doubts that an idea or belief exists or is valid|Being a skeptic, the woman highly doubted that the psychic would really be able to tell her future.|
Skeptical|having reservations or doubts about something|Although the car salesman assured us that the used SUV wasn’t a lemon, my skeptical mother was hesitant to believe him.|
Sketch|a rough drawing of something|A sketch of the main suspect’s face lead authorities to capturing the robbery trio.|
Skew|slanted, crooked|Because we didn’t use a level when hanging it, the picture was skew on the wall.|
Skewed|leaning towards a side|Her views of Her grandparents had been skewed after years of her parents telling her how rude and evil they were.|
